Id;Default
505;%i
650;%s
429;%s $TContador fotocelula entrada horno inferior
862;%s $TContador fotocelula entrada horno superior
52;%s $TContador fotocelula entrada secadero
78;%s $TContador fotocelula salida airless 2
348;%s $TContador fotocelula salida prensa 
177;%s $TContador piezas corte húmedo 4 
125;%s $TContador piezas multidiscos 1
246;%s $TContador piezas multidiscos 2
771;%s $TContador piezas Multidiscos 2
633;%t[s,ms]
577;//Quito las letras T# de la palabra a enviar$R$Nt_Entre_Piez_Ftc := DELETE(t_Entre_Piez_Ftc, LEN := 2, POS := 1)$;
13;Aceptar
1004;Admin
801;AJUSTES
152;Ajustes
453;Alarmas
856;Contador de piezas
92;Cont_Piezas
137;Corte húmedo 4
448;Delay Escritura
737;Diagnostico
40;Diagnostíco 
35;Diagnóstico
29;Elección modelo de la tabla CORTE HÚMEDO 4
16;Elección modelo de la tabla LINEA 4
378;Elección modelo de la tabla Multidiscos 1
634;Elección modelo de la tabla Multidiscos 2
360;Elige la opción de fin de producción $R$Ndel modelo actual.
32;En cuanto pulsas Reset paso a paso contadores se resetea $R$Ncontador fotocelula salida prensa,$R$N  a los 10 min de no notar pieza en la entrada del secadero se resetea $R$Ncontador entrada secadero,$R$N pasados 35 min sin notar pieza en salida airless 2 resetea $R$Ncontador salida airless 2. $R$NA los 15 min que el contador de reset salida airless 2 se haya reseteado$R$N se resetea contador fotocelula entrada horno inferior. 
172;En cuanto se rearme la marcha se cerrará esta ventana.$R$NDe no haberte dado tiempo a justificar el paro deberas ir a $R$N$"Registro tablas y justificación de paro$" para introducirlo en la linea manualmente. 
630;En producción
432;En producción todo OK
466;Entre Piez %s
850;Entre Piez Anterior %s
692;Esmaltado
631;Espesor
639;Espesor de la tabla 
765;Exit
1002;Fecha
394;Fecha inicio del modelo actual
297;Filtro Down
866;Filtro Up
872;Fin de producción
796;Fin de producción del modelo
570;Fin de producción temp
678;Fin producción temporizado
493;Finalizar la producción$R$N mientras todavía quedan $R$Npiezas por la línea $R$Npero la prensa $R$Nya ha parado.
806;Finalizar la producción inmediatamente.$R$NNo deben haber tablas entre la prensa y$R$Nel horno de destino.   
300;Finalizar modelo
419;Formato
215;Formato de la tabla 
884;Forzar Fotocelula
998;GreenCut
93;Habilitar lectura a$R$NPLC CorteH4
841;Habilitar lectura a$R$NPLC L4
332;Habilitar lectura a$R$NPLCs
780;Habilitar lectura al$R$NPLC
34;Habilitar lectura al$R$NPLC Maestro
621;Habilitar lectura del$R$NPLC Maestro
413;Historial de las tablas CORTE HÚMEDO 4
532;Histórico
681;Hora Fin Paro
553;Hora Inicio del paro
340;Hora Inicio Paro
226;Horno Inferior
412;Horno Superior
1;ID
1183;Justif paro
1000;Justif paro 
843;Justific paro
1115;Justifica brevemente el motivo del paro de la Linea.$R$NMáximo 5 palabras.
301;Justificación del Paro
266;JUSTIFICAR EL PARO ACTUAL
1158;Justificar Paro
366;Línea  en paro
67;Línea en paro
200;Maquina
227;Marca Paro 
911;Marca Sin Paro 
316;Min
914;Minutos Parado
531;Modelo
735;Modelo actual
12;Modelo de la tabla 
96;Multidiscos
616;Multidiscos 
228;Multidiscos 1
118;Multidiscos 2
77;Multidoscos
6;None
1078;Numero de Piezas
897;Numero de tablas
1060;Número de losas
364;Número de piezas 
700;Número de tablas
1041;Operario
23;Operario_CH4
679;Operario_Md1
1058;Operario_Md2
490;Paro activo
329;Prensa
600;Página de diagnóstico
732;Reset contador
722;Reset contador 
20;Reset paso a paso contadores
224;Ruta hacia horno
299;Secadero
403;Seg
59;Selecciona la máquina con la que vas a trabajar
225;Sensor presencia tabla 
864;Si
1229;Tablas
510;tiempo Entre Piez
64;tiempo entre Piezas
906;Tiempo entre Piezas
283;Tiempo entre piezas
55;Tiempo entre Piezas$R$NAnterior
571;Tiempo entre tablas
966;tiempo EntrePiez
705;tiempo Entre_Piez
1056;tiempo Entre_Piez_Ftc
649;Tiempo filtrado fotocelulas$R$Npara evitar parpadeos
501;Tiempo para empezar $R$Na contar como paro
433;Total piezas
138;Vas a finalizar la producción de este modelo de tabla.$R$N¿Estas seguro que no queda ninguna tabla $R$Nen toda la línea?
58;Vas a finalizar la producción de este modelo de tabla.$R$N¿Estas seguro que no queda ninguna tabla $R$Nentre la prensa y la entrada del horno?
729;Zona entrada horno
278;Zona presa
